title,condition,price,sold_date,num_bids,buy_it_now,best_offer
Oakley SI Ballistic M-FRAME 3.0 BONE/Coyote Tan Laser/CLR/GRY/PRISM Lense,Brand New,$199.99,"Sold  Dec 8, 2023Sold Item",,Yes,No
Oakley OO9047 SI Ballistic M Frame 2.0 Strike Shield Glasses,Brand New,$75.00,"Sold  Dec 7, 2023Sold Item",,Yes,No
Oakley M Frame Pro Jet Black Sunglasses - Black Iridium Heater - NEAR MINT,Pre-Owned,$179.99,"Sold  Dec 8, 2023Sold Item",,Yes,No
Oakley M Frame Black Sunglasses,Pre-Owned,$64.99,"Sold  Dec 8, 2023Sold Item",,Yes,No
Oakley M Frame Joker Green Sunglasses - Gold Iridium Hybrid,Pre-Owned,$139.99,"Sold  Nov 28, 2023Sold Item",,No,Yes
Oakley M2 Frame 009343-2045 Men's Black Frame Polarized Prizm Lens Sunglasses,Pre-Owned,$79.99,"Sold  Dec 8, 2023Sold Item",,No,Yes
Galaxy Nose Pads Rubber Kits For Oakley Si Ballistic M Frame 2.0 Z87 Black,New (Other),$5.19,"Sold  Dec 8, 2023Sold Item",,Yes,No
Oakley Pro M Frame Heater & Strike Black Iridium Lenses,Pre-Owned,$160.00,"Sold  Dec 7, 2023Sold Item",1 bid,No,No
Oakley SI Ballistic M Frame Alpha & Halo Goggle Multi-Lens Kit 00926-1144,New (Other),$100.00,"Sold  Dec 7, 2023Sold Item",,Yes,No
Oakley S.I. Ballistic M Frame Clear and Grey lens,Brand New,$100.00,"Sold  Dec 7, 2023Sold Item",,Yes,No
Oakley SI Ballistic M Frame 3.0 Matte Black Clear & Gray Lenses New W/Case Z87,Brand New,$89.00,"Sold  Dec 7, 2023Sold Item",,Yes,No
OAKLEY SI M FRAME 2.0 BALLISTIC EXTRA CLEAR LENS WITH EVERYTHING SUNGLASSES,Pre-Owned,$139.99,"Sold  Dec 7, 2023Sold Item",,Yes,No
Oakley M Frame Carbon Fiber Half Rim Wrap Sunglasses Frames 130 Sports Men Women,Pre-Owned,$79.99,"Sold  Dec 7, 2023Sold Item",,Yes,No
Oakley New M Frame Joker Green w/ Gold Iridium Hybrid Lenses,Pre-Owned,$125.00,"Sold  Dec 6, 2023Sold Item",,No,Yes
Oakley SI Ballistic M Frame 3.0 Gray Lens Multicam Sunglasses SAME DAY SHIPPING,Brand New,$115.50,"Sold  Dec 6, 2023Sold Item",,Yes,No
Oakley SI Ballistic M Frame 2.0 Strike Safety Glasses Kit,Pre-Owned,$79.99,"Sold  Dec 6, 2023Sold Item",,Yes,No
GENUINE OAKLEY M-FRAME BLACK EAR SOCKS TEMPLE TIPS & NOSE PADS 06-596,Brand New,$17.95,"Sold  Dec 6, 2023Sold Item",,Yes,No
Oakley Sunglasses Origins M2 Frame XL Carbon Fiber Prizm Road Iridium  OO9343-16,Brand New,$127.30,"Sold  Dec 6, 2023Sold Item",,Yes,No
Galaxy Replacement Lenses For Oakley M Frame Sweep Sunglasses Titanium Polarized,New (Other),$7.95,"Sold  Dec 6, 2023Sold Item",,Yes,No
OAKLEY M Frame Sweep Strap 1.0 2.0 3.0 Strike M2 Hybrid.,Brand New,$99.99,"Sold  Dec 6, 2023Sold Item",,Yes,No
Wholesale POLARIZED Replacement Lens for-Oakley M Frame Heater Vented Sunglasses,Brand New,$6.95,"Sold  Dec 6, 2023Sold Item",,Yes,No
Shop on eBay,Brand New,$20.00,,,Yes,No
oakley m2 frame sunglasses,Pre-Owned,$45.00,"Sold  Dec 6, 2023Sold Item",4 bids,No,No
[OO9343-08] Mens Oakley M2 Frame XL Sunglasses,Brand New,$107.99,"Sold  Dec 6, 2023Sold Item",,Yes,No
Oakley SI Ballistic M Frame 2.0 Strike Safety Glasses Kit,New (Other),$80.00,"Sold  Dec 6, 2023Sold Item",,No,Yes
Oakley SI Ballistic M Frame 2.0 Strike Safety Shooting Glasses Kit,New (Other),$90.00,"Sold  Dec 6, 2023Sold Item",,Yes,No
Oakley M Frame Strike OO 9060 11-161  Black / Clear Shield Men's Sunglasses NWT,Brand New,$99.99,"Sold  Dec 6, 2023Sold Item",,Yes,No
Oakley KATO Sunglasses OO9455M-2449 Cavendish White Frame W/ PRIZM 24K Lens,Pre-Owned,$139.99,"Sold  Dec 5, 2023Sold Item",,Yes,No
Oakley M Frame Matte Black Frame w/ Satin Silver Oakley Icons & Nose Guard,Pre-Owned,$74.98,"Sold  Dec 5, 2023Sold Item",,Yes,No
Oakley M Frame Pro Matte Black - VR28 Iridium Vented Strike - VERY NICE,Pre-Owned,$81.00,"Sold  Dec 5, 2023Sold Item",2 bids,No,No
Sunglasses Frames-Oakley M2 OO9212 OO9254 XL OO9343 OO9345 Incl Temples Earsocks,Brand New,$89.99,"Sold  Dec 5, 2023Sold Item",,Yes,No
AUTHENTIC OAKLEY M-FRAME BLACK EAR SOCKS TEMPLE TIPS & NOSE PAD KIT NEW! 06-596,Brand New,$19.99,"Sold  Dec 5, 2023Sold Item",,Yes,No
Oakley M Frame (New Gen) Crystal Red - LEFT ARM ONLY - MINT,Pre-Owned,$29.99,"Sold  Dec 5, 2023Sold Item",,Yes,No
Oakley SI Ballistic M Frame 3.0 Tactical Sunglasses Wind Dust Gasket New,Brand New,$75.00,"Sold  Dec 5, 2023Sold Item",,Yes,No
Oakley Standard Issue Ballistic M Frame 2.0 Men's Sunglasses - Black/Clear,New (Other),$95.00,"Sold  Dec 5, 2023Sold Item",,No,Yes
Sunglasses Frames-Oakley OO9212 OO9254 XL OO9343 OO9345 M2 Incl Temples Earsocks,Brand New,$89.99,"Sold  Dec 5, 2023Sold Item",,Yes,No
NEW Oakley SI Ballistic M Frame Replacement Lens Hybrid Gray In Box,Brand New,$29.99,"Sold  Dec 5, 2023Sold Item",1 bid,No,Yes
Vintage Original Oakley High Definition Optics Sunglasses Case Floating M Frame,Pre-Owned,$50.00,"Sold  Dec 5, 2023Sold Item",,No,Yes
"Men's Oakley M Frame Sunglasses Black Frame Smoke Lenses WITH Extra Lens, Nose",Pre-Owned,$85.00,"Sold  Dec 5, 2023Sold Item",,Yes,No
Oakley Mumbo M Frame Hammers Strike ST K Cobalt POS Red 4.674.851 4.867.550,Brand New,$328.50,"Sold  Dec 5, 2023Sold Item",,No,Yes
